restaurant,address
La Palma,"2884 24th St, San Francisco, CA 94110"
La Taqueria,"2889 Mission St, San Francisco, CA 94110"
El Farolito ,"2779 Mission St, San Francisco, CA 94110"
El Metate,"2406 Bryant St, San Francisco, CA 94110"
Tacos El Patron,"1500 S Van Ness Ave #100, San Francisco, CA 94110"
taqueria el buen sabor ,"699 Valencia St, San Francisco, CA 94110"
La Vaca Birria ,"2962 24th St, San Francisco, CA 94110"
Senor Sisig ,"990 Valencia St, San Francisco, CA 94110"
Taqueria Vallarta ,"3033 24th St, San Francisco, CA 94110"
La Espiga De Oro,"2916 24th St, San Francisco, CA 94110"
Tacos Del Barrio,"2817 24th St, San Francisco, CA 94110"